Code,Summary
public void remove tool tool t abstract button item get tool button t if item null return remove item t remove property change listener this configuration manager get configuration remove property change listener color theme colortheme this tool items remove t,removes a tool from this menu
public void remove all tools enumeration tools tool items keys for tools has more elements remove tool tool tools next element,removes all tools from this menu
public void remove tool tool t tools2 prio remove t j ittools remove t tool items remove t,removes a tool from this menu
public jmenu item add tools menu final tools menu menu int prio tools2 prio put menu new integer prio super add menu set priority menu prio return null,adds a tools menu to the menu
public set get tools return tools2 prio key set,fetch all tools in this menu
public void remove all tools tools2 prio new hash map component comps get popup menu get components for int i 0 i comps length i if comps i instanceof jseparator continue remove comps i,removes all tools from this menu
private void remove file lock if lock null try lock release catch ioexception e1 if channel null try channel close catch ioexception e,removes the file lock
private void delete file if file null file exists file can write file delete,deletes the lock file
private void reset scroll bar position final jscroll pane scroll pane swing utilities invoke later new runnable public void run jscroll bar v scroll bar scroll pane get vertical scroll bar v scroll bar set value v scroll bar get minimum jscroll bar h scroll bar scroll pane get horizontal scroll bar h scroll bar set value h scroll bar get minimum,sets the position of the scrollbars content to the left upper corner
public void add close button action listener action listener listener close button add action listener listener,adds an action listener to the close button
public void remove close button action listener action listener listener close button remove action listener listener,removes an action listener from the close button
private set get mark set hash set set new hash set set add marked get concept get uri get mark set marked marked get concept set controller get map scroll pane get displayer return set,calculates a set of direct and indirect markes from the original mark
private void write port number to file try print writer printer new print writer file printer println socket get local port printer close catch file not found exception e log error e file delete on exit,writes the port where the socket is listening at into a file
public void start try socket new datagram socket new inet socket address inet address get local host 0 catch ioexception e log error e return log info listening on socket get local socket address runtime get runtime add shutdown hook new thread public void run log info shutting down listener on socket get local socket address if socket null socket close write port number to file this is not multi threaded on purpose while true wait and serve client,this method does not return ideally started as thread
private int read port number from file file file buffered reader reader null string port str null try reader new buffered reader new file reader file port str reader read line catch ioexception e log error e finally if reader null try reader close catch ioexception ignored int port 1 if port str null try port integer parse int port str catch number format exception nfe log error nfe return port,writes the port where the socket is listening at into a file
public tree tag node get filter node return filter concept,the filternode is created from a concept
public string get filter tag meta data md filter concept get meta data string title meta data utils get localized string md get metametadata language md get general title string if title length 0 title filter concept get uri return title fixme filter tags has to be represented in another way return null,returns the filtertag of this node
public filter node get refine int index return filter node refines element at index,returns the refine at given index of this node
public int num of refines return refines size,returns the number of refines attached to this node
public filter node get top return topnode,returns the node above this node
public void set top filter node node topnode node,sets the node above this node
public void update popups map event e either should description be updated or map is shown if sub map update description e else fixme original trigger is used if e hit type map event hit none original trigger null e map object map event original trigger map object kill sub win update description e else move sub win e,this function is the entry point for event handling for popups
public string get type return mime type substring 0 slash,returns the main mime type
public file get java file return new file get path,returns a java file object pointing to the file represented by this
public string get sub type return mime type substring slash 1,returns the subtype
public string get scheme return uri substring 0 colon location,returns the code scheme code part of the uri
protected object get component from trigger object o if o instanceof map event o null return null map event e map event o if e null return null if e map object null info highlighter tool is infoable e map object return null if e hit type map event hit none return controller get concept map else if e map object null return e map object return null,a description originates from either the map or a concept
public string get scheme specific return uri substring colon location 1 fragment location,returns the code scheme specific code part of the uri
public string get fragment if fragment location uri length return return uri substring fragment location 1,returns the code fragment code part of the uri
protected object get description lookup object object o if o instanceof map event o null return null map event e map event o if e hit type map event hit none return controller get concept map else if e map object null return e map object return null,a description originates from either the map or a concept
public string get base return uri substring 0 fragment location,returns a string without the code fragment code part of the uri
public void set forward direction boolean forward this forward direction forward,the direction to set
public void fire edit event edit event e is edited true fire edit event no edit e,fires an edit event to all listeners and marks the
public uri try uri string uri throws invalid uriexception try return new uri uri catch urisyntax exception e throw new invalid uriexception e get message uri,tries to parse a uri using this resources uri as base uri
public component cache get cache return cache,returns the cache of this resource store
public concept get and reference concept uri uri throws component exception component c cache get component uri to string if c null if c instanceof concept return concept c throw new component exception the uri for the requested concept is already in use and is not a concept the uri requested was uri concept concept this component manager load concept uri cache reference component concept return concept,loads a concept referencing it in the cache
public boolean can handle uri uri uri return uri get scheme equals tmp,returns whether this formathandler can deal with a specified uri
public long get local file size return this local file size,returns the file size of the cached file
public date get last modification date return this last modification date,returns the date of the last modification
private void write stream to file input stream data file container buffered output stream bos null gzipoutput stream output null int count byte buf new byte get buffer size try bos new buffered output stream new file output stream container get buffer size output new gzipoutput stream bos get buffer size while count data read buf 0 get buffer size 1 output write buf 0 count catch ioexception ioe throw new info message exception ioe finally try if output null output close catch ioexception ioe,writes a string to a file
public date get cached date return cached date,returns the date and time when the container was cached
private void create parent directories string url throws ioexception remote storage exception string path remote storage helper get file path url if path null path length 1 path replace string sep string collection string tokenizer t new string tokenizer path sep int count t count tokens exclude the last token filename while t has more tokens count 1 collection sep t next token webdav resource mkcol method collection count else throw new illegal argument exception parameter must be a valid path,creates a full directory path if it does not exist
private ftpfile get ftpfile string path throws remote storage exception try ftpfile file this ftp resource list files path if file null file length 0 return file 0 else throw new remote storage exception failed to retrieve the requested information please make sure the path exists catch ioexception ioe throw new remote storage exception ioe,tries to return an ftpfile object
private void create parent directories string path throws ioexception if path null path length 1 path replace string sep string collection string tokenizer t new string tokenizer path sep int count t count tokens exclude the last token filename while t has more tokens count 1 collection sep t next token this ftp resource make directory collection count else throw new illegal argument exception parameter must be a valid path,creates a full directory path if it does not exist
public collaborilla stateless client get stateless client string service root collab config get collaborilla service root if service root null uri couch db url uri create collab config get collaborilla service root return new collaborilla couch db client couch db url get host couch db url get port else throw new illegal state exception collaborilla service has not been specified,reads the collaborilla host and port from the conzilla settings and
public void store locations list location infos if location infos null return config clear property settings conzilla collab locations iterator loc info it location infos iterator while loc info it has next location information info location information loc info it next string enc info encode location information info config add property settings conzilla collab locations enc info,stores the publishing locations in the conzilla configuration
public boolean is directory string url throws remote storage exception boolean result false try webdav resource set path remote storage helper get file path url result webdav resource is collection catch ioexception ioe throw new remote storage exception make sure path exists ioe return result,tells whether a location is a directory
public void store locations default list model model store locations collections list model elements,converts a default list model to a list and calls store locations list
public string get meta data uri uri return get meta data uri latest revision,requests the metadata of a container or context map
public string get meta data uri uri int revision collaborilla data set data set get data set uri revision string meta data null if data set null meta data data set get meta data return meta data,request the metadata of a container or context map
public default list model get locations list model default list model model new default list model list locations get locations iterator loc it locations iterator while loc it has next location information info location information loc it next model add element info return model,returns the publishing locations as a default list model
public string get tool tip string buffer tooltip new string buffer tooltip append html if description null tooltip append b description b br description br br if publishing location null tooltip append b publishing location b br publishing location br br if access location null tooltip append b public access location b br access location tooltip append html return tooltip to string,constructs a tooltip out of the available information in this object
public set get required containers uri uri return get required containers uri latest revision,requests a list of required containers dependencies of a contextmap
public boolean is directory string url throws remote storage exception this check connection return this get ftpfile remote storage helper get file path url is directory,checks whether a url is a directory
public set get required containers uri uri int revision collaborilla data set data set get data set uri revision set containers null if data set null containers data set get required containers return containers,requests a list of required containers dependencies of a contextmap
public set get optional containers uri uri return get optional containers uri latest revision,requests a list of optional containers contributions of a contextmap
public void store previously used destination location information info string enc info encode location information info config set property settings conzilla collab prev location enc info,stores the setting of the last used destination information
public date get creation date string url throws remote storage exception string str date get property url creationdate if str date null return null date date null date format formatter new simple date format yyyy mm dd t hh mm ss try date formatter parse str date catch parse exception pe throw new remote storage exception pe return date,checks for the date of creation of a file
public set get optional containers uri uri int revision collaborilla data set data set get data set uri revision set containers null if data set null containers data set get optional containers return containers,requests a list of optional containers contributions of a contextmap
public set resolve uriand return set uri uri return resolve uriand return set uri latest revision,queries the collaborilla service to resolve a given uri into a url
public set resolve uriand return set uri uri int revision collaborilla data set data set get data set uri revision set locations null if data set null locations data set get locations return locations,this method takes the revision of the published container into
public string resolve uri uri uri return resolve uri uri latest revision,queries the collaborilla service to resolve a given uri into a url
public string resolve uri uri uri int revision set locations resolve uriand return set uri revision if locations null locations is empty return string locations to array 0 else return null,this method takes the revision of the published container into
private string encode location information location information info string enc title string enc description string enc publishing location string enc public access location try enc title urlencoder encode info get title utf 8 enc description urlencoder encode info get description utf 8 enc publishing location urlencoder encode info get publishing location utf 8 enc public access location urlencoder encode info get public access location utf 8 catch unsupported encoding exception e log error unable to encode information e string enc info enc title enc description enc publishing location enc public access location return enc info,encodes a location information object so that it can be stored in the
public boolean is published uri uri if map controller is uriremote uri to string return false if support get meta data cache is cached uri to string return true if is online collaborilla data set data set get data set uri latest revision if data set null return true return false,detects whether a context map container or anything with a uri has been
public string get collaborilla service root return config get string settings conzilla collab service http collaborilla conzilla org rest v1,returns the hostname of the collaborilla service
public void set collaborilla service root string host name config set property settings conzilla collab service host name,sets the hostname of the collaborilla service
public void set user namespace string namespace config set property settings conzilla user namespace namespace,sets the namespace of the current user
private void load configuration url config url throws ioexception init main config main config load config url log info configuration loaded from config url,loads an already existing configuration
private void set modified boolean modified this modified modified,sets the modified status of this configuration
private void create configuration create all necessary directories file conf dir new file get configuration directory if conf dir exists conf dir is directory if conf dir mkdirs log error unable to create configuration directory init main config log info configuration created,creates a new configuration
private void start configuration saver log debug setting up configuration interval saving new timer schedule new configuration saver flushing interval flushing interval runtime get runtime add shutdown hook new thread new configuration saver,enables a timer task and a shutdown hook to store a modified configuration
public object clone throws clone not supported exception throw new clone not supported exception this get class is a singleton,this class is implemented as singleton so we want to avoid having
public string get agent uri string namespace if namespace length 0 return null if namespace ends with namespace return namespace profile,contructs the users personal uri with the help of the personal namespace
private input stream get input stream of container final container container throws ioexception we could also use piped streams but this requires threading and leads somehow to a broken pipe to be done byte array output stream out new byte array output stream rdfmodel m rdfmodel container we don t write with m write because sometimes it fails for some strange reason rdfwriter w m get writer rdf xml abbrev w write m out rdf xml abbrev return new byte array input stream out to byte array,converts a container into an input stream
private boolean information container is dependant upon string information uri session get container urifor concepts iterator concepts controller get view get map scroll pane get displayer get store manager get concepts iterator while concepts has next concept c concept concepts next for iterator rel cont c get component manager get loaded relevant containers iterator rel cont has next if information uri equals uri rel cont next to string return true return false,checks whether the information container of the current session is required
private void load index file index file buffered input stream bis null xmldecoder input null try log debug loading index from index file bis new buffered input stream new file input stream index file buffer size input new xmldecoder bis cache map hash map input read object catch ioexception ioe instead of throwing an exception this create index this clear log error unable to load cache index ioe throw new info message exception unable to load cache index ioe finally if input null input close,loads deserializes an existing index from disk into memory
private void create index file cache dir file new file get cache directory if cache dir file exists cache dir file is directory log info cache directory does not exist creating if cache dir file mkdirs log warn unable to create cache directory throw new info message exception unable to create cache directory cache map new hash map,creates a new index and eventually non existing cache directories
protected void set modified boolean value this modified value,a marker for the method flush that something has changed
protected boolean is modified return this modified,tells whether the cache index has been modified and therefore needs to be
private void print information string info string old value this information this information info fire property change prop progress info old value this information,fires a property change event with some information
public void add consumer input stream consumer consumer synchronized consumers this consumers add consumer,adds a single input stream consumer object to the internal collection of
public void run check usable byte buffer new byte buffer size int read count byte count 0 usable false try while true we read from the input stream and write into all output streams if read count input read buffer 1 output write buffer 0 read count byte count read count else eof output flush output close break catch ioexception ioe this should be replaced with something different log error ioe finally try if input null input close catch ioexception ioe finished true,reads from an uncompressed input stream and writes to an output stream
public input stream create input stream throws ioexception this check usable piped input stream pis piped output stream pos splice piped input stream and piped output stream together pis new custom piped input stream this buffer size pos new piped output stream pis this sources add pis this sinks add pos return pis,returns an input stream which will contain the same data as the source
private void print error string error string old value this information this information error log error error fire property change prop progress error old value this information,fires a property change event with an error message
private void set percentage int percentage if 0 percentage percentage 100 throw new illegal argument exception percentage cannot be less than 0 or more than 100 int old value this percentage this percentage percentage fire property change prop progress percentage old value percentage,fires a property change event to signal that the progress percentage has
public void join consumer threads boolean interrupted thread interrupted try we wait until all consumer threads have been created this join catch interrupted exception ie while threads is empty try thread threads get 0 join threads remove 0 catch interrupted exception ie interrupted true if interrupted thread current thread interrupt,waits until all action threads are finished
public long get byte count return this byte count,returns the amount of bytes which have been read from the input stream
private void finish fire property change prop progress finished inprogress finished,fires a property change event to signal that the process has been finished
private void cancel fire property change prop progress cancelled inprogress cancelled,fires a property change event to signal that the process has been
public void initialize rdfcomponent manager rcm rdfmodel initialize in model this rcm rcm initialize in model initialize in model refresh relevant containers set edited true,initializes stuff use when to create a new component
public void update rdfcomponent manager rcm updating true this rcm rcm init update iterator it rcm get loaded relevant containers iterator while it has next rdfmodel m rdfmodel rcm get container uri it next update from model m end update updating false,should be called whenever the resource is loaded from model or whenever
protected void initialize in model rdfmodel model this model model rcm container is relevant uri create model get uri,called to accomplish initialize a rdfcomponent in the the given rdfmodel
public void remove from model rdfmodel model throws read only exception if is editable throw new read only exception read only set path type line style path type straight resource object model get resource get uri statement st1 object get property cv subject layout if st1 null st1 remove statement st2 object get property cv object layout if st2 null st2 remove remove the type statement st3 object get property rdf type if st3 null st3 remove remove the line set line new context map position 0,removes the statement layout from the two connecting concept layouts
protected void init update type null rcm refresh refresh relevant containers,typically updating of stuff that was initialized with initialize in model
protected void update from model rdfmodel m,here this rdfcomponent has a chance to load information from the given
public drawer layout get subject layout return subject,returns the subjet of this statement layout
public drawer layout get object layout return object,returns the object of this statement layout
public resource get resource rdfmodel model get load model if resource null if model null try resource model get resource get uri return resource catch exception re re print stack trace resource new resource impl get uri return resource,returns the jena component corresponding to this rdfcomponent
public rdfmodel get load model if model null container cont rcm get container manager find load container for resource this if cont instanceof rdfmodel log error load model is not an rdfmodel if cont null cont rcm get current concept container model rdfmodel cont return model,overload for correct type handling
public boolean get tree tag node load container domination return this tree tag node load model domination,tells wether to stay in the same model as the treenode above when
protected vector excavate styles stmt iterator stmts vector styles new vector if stmts null while stmts has next string str stmts next statement get resource get uri log debug found one style has string str rdfcomponent style get style str if style null styles add style return styles,help function that extracts the first style it can find from a
public rdfmodel get load model if model null resource subject new resource impl get uri model total model find1 model subject rdf type null model rdfcontainer manager rcm get container manager find1 model subject rdf type node type if model null model rdfmodel rcm get current concept container return model,overload for correct type handling
public void set tree tag node load container domination boolean value this tree tag node load model domination value,change this whenever you want to create new layers in new models e
protected rdfcomponent get style string str style try rdfcomponent resource rdfcomponent store get and reference concept new uri str style return resource catch component exception ce catch urisyntax exception mue return null,retrieves a style given a identifier for it that is from
public boolean reflect to triple return this create triple,answers wether a triple should be created when a statement is created
protected void initialize in model rdfmodel model super initialize in model model mirror new mem tree tag node get uri to string uri create model get uri rcm get tag manager resource object model get resource get uri object add property rdf type node type if content uri null resource concept model get resource content uri object add property property concept,uses the given node type in the create constructor as type
public void set reflect to triple boolean trip this create triple trip,sets the mode regarding if triples should be created when a statement is
protected void init update super init update resource object get load model get resource get uri concept uri object get property cv displayresource get resource get uri statement stmt object get property property if stmt null content uri stmt get resource get uri get type if mirror null newmirror new mem tree tag node mirror get uri mirror get tag rcm get tag manager newmirror set priority mirror get priority newmirror set parent mutable tree node mirror get parent else newmirror new mem tree tag node get uri to string uri create model get uri rcm get tag manager,a new mirror is initiated
protected void end update super end update mirror newmirror,the new mirror is set to the new mirror
public void recursively remove from all relevant models vector object layouts new vector get children for int i object layouts size 1 i 0 i rdftree tag node rttn rdftree tag node object layouts element at i rttn recursively remove from all relevant models remove from all relevant models,recursively removes this node and all its children from all models
public void recursively remove from model rdfmodel model remove from model model true,recursively removes this node and all its children from the given model
protected void remove from model rdfmodel model remove from model model false,removes this rdftree tag node from the given model i
public component load component uri uri throws component exception statement st this container manager find1 new resource impl uri to string rdf type cv context map if st null rdfconcept map c map new rdfconcept map uri c map update new rdfcomponent manager this uri null true return c map else rdfconcept c new rdfconcept uri c update new rdfcomponent manager this uri null false return c,returns a resource i
public void add data tag string tag throws read only exception if is editable throw new read only exception read only model do this later,adds a visible data tag
public void remove data tag string tag throws read only exception if is editable throw new read only exception read only model do this later,removes a visible data tag
public void init population population int n0 int sample size genome start genome list sub population sub populations population get sub populations sub populations clear sub population sub population new sub population for int i 0 i n0 2 i sub population add new individual start genome sub population set population change function new population change function n0 0 0 sub populations add sub population sub population set sample size sample size,at start there is one subpopulation with n0 individuals all having the
public void mutate site number d mutations add d double value,adds mutation has no effect if already present
public int get burn in return burn in,burn in time in generations before recording starts
public void set mutation rate double mu this mutation rate mu,whole locus mutation rate per generation
public void set recombination rate double r this recombination rate r,whole locus recombination rate per generation
public void set selection coefficient double s this selection coefficient s,relative fitness advantage of advantageous mutation
private string parse path http servlet request request return request get path info,returns the rest path portion of the url requesting the servlet e
private void initialize this set size 470 465 this set size 470 515 this set default close operation jframe exit on close this set jmenu bar get jjmenu bar principal this set resizable false this set content pane get jpanel this set title uel turing,this method initializes this
private jtext field get jtext field inicial if j text field inicial null j text field inicial new jtext field j text field inicial set document new fixed length document 3 j text field inicial set location new point 161 48 j text field inicial set size new dimension 34 20 return j text field inicial,this method initializes j text field inicial
private jtext field get jtext field final if j text field final null j text field final new jtext field j text field final set document new fixed length document 3 j text field final set location new point 161 78 j text field final set size new dimension 34 20 return j text field final,this method initializes j text field final
private jtext field get jtext field alfabeto if j text field alfabeto null j text field alfabeto new jtext field j text field alfabeto set size new dimension 205 20 j text field alfabeto set location new point 161 108 return j text field alfabeto,this method initializes j text field alfabeto
private text area get text area producao if text area producao null text area producao new text area text area producao set size new dimension 403 136 text area producao set location new point 30 188 return text area producao,this method initializes text area producao
private jmenu bar get jjmenu bar principal if j jmenu bar principal null j jmenu bar principal new jmenu bar j jmenu bar principal add get jmenu principal j jmenu bar principal add get jmenu sobre return j jmenu bar principal,this method initializes j jmenu bar principal
private jmenu get jmenu principal if j menu principal null j menu principal new jmenu j menu principal set text arquivo j menu principal add get jmenu item sair return j menu principal,this method initializes j menu principal
private jmenu get jmenu sobre if j menu sobre null j menu sobre new jmenu j menu sobre set text ajuda j menu sobre add get jmenu item sobre j menu sobre add get jmenu item desenvolvedores return j menu sobre,this method initializes j menu sobre
private jmenu item get jmenu item desenvolvedores if j menu item desenvolvedores null j menu item desenvolvedores new jmenu item j menu item desenvolvedores set text desenvolvedores j menu item desenvolvedores add action listener new java awt event action listener public void action performed java awt event action event e joption pane show message dialog null desenvolvedores n n fabio pessoa nunes n hevelin viviane ferrari n leandro cavalari soares n lucas jos severino n wender ferreira n n auto generated event stub action performed return j menu item desenvolvedores,this method initializes j menu item desenvolvedores
private jtext field get jtext field conj estados if j text field conj estados null j text field conj estados new jtext field j text field conj estados set bounds new rectangle 161 19 203 20 return j text field conj estados,this method initializes j text field conj estados
private jtext field get jtext field1 if j text field1 null j text field1 new jtext field j text field1 set preferred size new dimension 200 22 j text field1 set bounds new rectangle 160 63 200 22 return j text field1,this method initializes j text field1
private jtext field get jtext field2 if j text field2 null j text field2 new jtext field j text field2 set preferred size new dimension 200 22 j text field2 set bounds new rectangle 160 85 200 22 return j text field2,this method initializes j text field2
private jbutton get btn inserisci if btn inserisci null try btn inserisci new jbutton btn inserisci set bounds new java awt rectangle 200 40 101 26 generated btn inserisci set text aggiorna btn inserisci add action listener new java awt event action listener public void action performed java awt event action event e inserisci catch java lang throwable e todo something return btn inserisci,this method initializes btn inserisci
private jcombo box get jcombo box if j combo box null j combo box new my combo dist dbm j combo box set preferred size new dimension 200 22 j combo box set bounds new rectangle 160 41 200 22 j combo box state change update combo j combo box add item listener new java awt event item listener public void item state changed java awt event item event e update combo return j combo box,this method initializes j combo box
private jbutton get jbutton if j button null j button new jbutton j button set bounds new rectangle 200 88 101 26 j button set text annulla j button add mouse listener new java awt event mouse adapter public void mouse clicked java awt event mouse event e close return j button,this method initializes j button
private jbutton get jbutton1 if j button1 null j button1 new jbutton j button1 set text aggiorna j button1 set bounds new rectangle 220 160 90 26 j button1 add mouse listener new java awt event mouse adapter public void mouse clicked java awt event mouse event e try int i aggiorna if i 0 joption pane show message dialog j frame aggiornamento non riuscito avviso joption pane information message else close catch exception e21 system err println e21 return j button1,this method initializes j button1
private jpassword field get jripeti password if j ripeti password null j ripeti password new jpassword field j ripeti password set bounds new rectangle 15 230 161 21 return j ripeti password,this method initializes j ripeti password
private jbutton get jbutton2 if j button2 null j button2 new jbutton j button2 set bounds new rectangle 70 160 90 26 j button2 set text chiudi j button2 add mouse listener new java awt event mouse adapter public void mouse clicked java awt event mouse event e try close catch exception e30 e30 print stack trace return j button2,this method initializes j button2
private jtext field get jtext field if j text field null j text field new jtext field j text field set preferred size new dimension 200 22 j text field set bounds new rectangle 130 23 200 22 return j text field,this method initializes j text field
private jtext field get jtext field1 if j text field1 null j text field1 new jtext field j text field1 set preferred size new dimension 200 22 j text field1 set bounds new rectangle 130 45 200 22 return j text field1,this method initializes j text field1
private jtext field get jtext field2 if j text field2 null j text field2 new jtext field j text field2 set preferred size new dimension 200 22 j text field2 set bounds new rectangle 130 199 200 22 return j text field2,this method initializes j text field2
